global_position,trial_id,scenario_id,style,seed,attempt_status,analysis_status,priority_preserved,unauthorized_override_count,T_exec,T_min,canonical_result_sha256,feasible_explicit_T_preserved,dynamic_feasibility_and_T_min_preserved,auto_T_min_preserved,hard_safety_ownership_preserved,motion_limits_and_controller_clamps_preserved,no_priority_above_style_changed
299,E4B-AUTO-T__aggressive__S54201,E4B-AUTO-T,aggressive,54201,success,COMPLETE,1,0,3.1729490546762986,2.8844991406148166,3946a943d6e7612bb1bdad638312cb3d7a098d8098c4656b1d77795e1fe60f36,1,1,1,1,1,1
430,E4B-AUTO-T__aggressive__S54202,E4B-AUTO-T,aggressive,54202,success,COMPLETE,1,0,3.1729490546762986,2.8844991406148166,4f46f4831ff70257c7e6570710f4fe318b85d77bdc9626f1086796f68639e033,1,1,1,1,1,1
333,E4B-AUTO-T__aggressive__S54203,E4B-AUTO-T,aggressive,54203,success,COMPLETE,1,0,3.1729490546762986,2.8844991406148166,c2f23f2462ea25fa04ce81c37ced935d3f663f3037f65845dc91596b0680bab1,1,1,1,1,1,1
348,E4B-AUTO-T__aggressive__S54204,E4B-AUTO-T,aggressive,54204,success,COMPLETE,1,0,3.1729490546762986,2.8844991406148166,8157a728a7c7afb5362d12b6e9a8e6c61afe4709415e76274e55e6667db5e9cf,1,1,1,1,1,1
186,E4B-AUTO-T__aggressive__S54205,E4B-AUTO-T,aggressive,54205,success,COMPLETE,1,0,3.1729490546762986,2.8844991406148166,a68fbff510653e74fea6378f0af5e489e686cd9f4f7b59b0190bd5d24ebf93ba,1,1,1,1,1,1
520,E4B-AUTO-T__normal__S54201,E4B-AUTO-T,normal,54201,success,COMPLETE,1,0,3.317174011707039,2.8844991406148166,9fb0c5508014e180bfe379cf2708122981b8311e0b209fa3b2682c621e9c32dd,1,1,1,1,1,1
492,E4B-AUTO-T__normal__S54202,E4B-AUTO-T,normal,54202,success,COMPLETE,1,0,3.317174011707039,2.8844991406148166,2f0d8892d9f736f2e817c3f8307f6a97eef3681f2f3c83d53f152cdb9179ab61,1,1,1,1,1,1
461,E4B-AUTO-T__normal__S54203,E4B-AUTO-T,normal,54203,success,COMPLETE,1,0,3.317174011707039,2.8844991406148166,209a6c62f4014744c325b9d582e5ed9f8647cb3753dd993cbb91b5edce5461dd,1,1,1,1,1,1
276,E4B-AUTO-T__normal__S54204,E4B-AUTO-T,normal,54204,success,COMPLETE,1,0,3.317174011707039,2.8844991406148166,45c3fede8a5c4d3f35333db001d93adc79ac01f3d37846c53ddbb9d4b6a3ae02,1,1,1,1,1,1
14,E4B-AUTO-T__normal__S54205,E4B-AUTO-T,normal,54205,success,COMPLETE,1,0,3.317174011707039,2.8844991406148166,81cb70ff92aa101a6479880e38bce84d0fc1ff8cd86dfce8d6a8b2b8537f7061,1,1,1,1,1,1
267,E4B-AUTO-T__smooth__S54201,E4B-AUTO-T,smooth,54201,success,COMPLETE,1,0,3.7498488827992618,2.8844991406148166,cfd7a74efb170603e182ae87b51a3f28f4998034f603d503f135bc2b460e7942,1,1,1,1,1,1
478,E4B-AUTO-T__smooth__S54202,E4B-AUTO-T,smooth,54202,success,COMPLETE,1,0,3.7498488827992618,2.8844991406148166,2ad61d706ba55f5c1651f13ecb02d15921b3a5427fc1d5f26f07b225d64a23d5,1,1,1,1,1,1
166,E4B-AUTO-T__smooth__S54203,E4B-AUTO-T,smooth,54203,success,COMPLETE,1,0,3.7498488827992618,2.8844991406148166,ac44ebcf00bae5b78a0be6b41cc41faa556a561d40503551adf621b39ff4c591,1,1,1,1,1,1
274,E4B-AUTO-T__smooth__S54204,E4B-AUTO-T,smooth,54204,success,COMPLETE,1,0,3.7498488827992618,2.8844991406148166,643f113b59daeaaaa6f8158355be40a09fce98e2b03e71c724c3e3832374a292,1,1,1,1,1,1
46,E4B-AUTO-T__smooth__S54205,E4B-AUTO-T,smooth,54205,success,COMPLETE,1,0,3.7498488827992618,2.8844991406148166,dcb5236a19b101295d7bfabfbc699bba9d443002c809d8beaad5c5d61999c250,1,1,1,1,1,1
524,E4B-FEASIBLE-EXPLICIT-T__aggressive__S54201,E4B-FEASIBLE-EXPLICIT-T,aggressive,54201,success,COMPLETE,1,0,4.0,2.8844991406148166,7e63c80f823c26deecc1fe5a499300004986ec5d425879916ad4ff27ae1f6a31,1,1,1,1,1,1
546,E4B-FEASIBLE-EXPLICIT-T__aggressive__S54202,E4B-FEASIBLE-EXPLICIT-T,aggressive,54202,success,COMPLETE,1,0,4.0,2.8844991406148166,f44536ceec83988c0b227c9281c6ba4d21d97a8cf50fbeb064c00005692db706,1,1,1,1,1,1
43,E4B-FEASIBLE-EXPLICIT-T__aggressive__S54203,E4B-FEASIBLE-EXPLICIT-T,aggressive,54203,success,COMPLETE,1,0,4.0,2.8844991406148166,6bb743206794a108b21b15a071c121dd0e48ece69cb03269785637e3d35a6b52,1,1,1,1,1,1
610,E4B-FEASIBLE-EXPLICIT-T__aggressive__S54204,E4B-FEASIBLE-EXPLICIT-T,aggressive,54204,success,COMPLETE,1,0,4.0,2.8844991406148166,85adbe783fe852935c758399230ad2eedc893b96c8269f8583c3956474b272ce,1,1,1,1,1,1
487,E4B-FEASIBLE-EXPLICIT-T__aggressive__S54205,E4B-FEASIBLE-EXPLICIT-T,aggressive,54205,success,COMPLETE,1,0,4.0,2.8844991406148166,1ec1be3f03481bcd177a04aec3f1d3f46fd6f848379aa2f321edaa9b296859de,1,1,1,1,1,1
301,E4B-FEASIBLE-EXPLICIT-T__normal__S54201,E4B-FEASIBLE-EXPLICIT-T,normal,54201,success,COMPLETE,1,0,4.0,2.8844991406148166,f2c81a13769c81a7658fa2045b8c1506f56e6390792d51f6efba028c47fd48d0,1,1,1,1,1,1
600,E4B-FEASIBLE-EXPLICIT-T__normal__S54202,E4B-FEASIBLE-EXPLICIT-T,normal,54202,success,COMPLETE,1,0,4.0,2.8844991406148166,67765fcbea23e851563ae545f48d1aba81a325db3e56e2212d83fe21584a5bfa,1,1,1,1,1,1
332,E4B-FEASIBLE-EXPLICIT-T__normal__S54203,E4B-FEASIBLE-EXPLICIT-T,normal,54203,success,COMPLETE,1,0,4.0,2.8844991406148166,424979f088df52c929c87c81ee050703ddb3dafb515311ac2b4d96c8d1241ea9,1,1,1,1,1,1
514,E4B-FEASIBLE-EXPLICIT-T__normal__S54204,E4B-FEASIBLE-EXPLICIT-T,normal,54204,success,COMPLETE,1,0,4.0,2.8844991406148166,132d32cc8d90bfcdf08739fbccb84c9bea21848b423b0f778c73c58c4a6db4bb,1,1,1,1,1,1
76,E4B-FEASIBLE-EXPLICIT-T__normal__S54205,E4B-FEASIBLE-EXPLICIT-T,normal,54205,success,COMPLETE,1,0,4.0,2.8844991406148166,4494a8f5fe6414ccbbb078f0c0ee2590c91cf1be1273a435efb7e5aae3fad520,1,1,1,1,1,1
316,E4B-FEASIBLE-EXPLICIT-T__smooth__S54201,E4B-FEASIBLE-EXPLICIT-T,smooth,54201,success,COMPLETE,1,0,4.0,2.8844991406148166,b84c325d2beda6e5bfa5e68b5eccccbebcde5878ac6f2bf2a70252059b9a056f,1,1,1,1,1,1
392,E4B-FEASIBLE-EXPLICIT-T__smooth__S54202,E4B-FEASIBLE-EXPLICIT-T,smooth,54202,success,COMPLETE,1,0,4.0,2.8844991406148166,6d83176b1254bc94b6cfe7dbd01eced0d21f6734553fbaf957e6259c79047fb0,1,1,1,1,1,1
398,E4B-FEASIBLE-EXPLICIT-T__smooth__S54203,E4B-FEASIBLE-EXPLICIT-T,smooth,54203,success,COMPLETE,1,0,4.0,2.8844991406148166,94b33e87b5400d0664001626d8404e55cf6fbac42eed596998a4dd6ef1b76838,1,1,1,1,1,1
481,E4B-FEASIBLE-EXPLICIT-T__smooth__S54204,E4B-FEASIBLE-EXPLICIT-T,smooth,54204,success,COMPLETE,1,0,4.0,2.8844991406148166,6020ea205ecfd4a4eaa830aee418f0fc10509ef0a4e90f47c15f301c99d06640,1,1,1,1,1,1
401,E4B-FEASIBLE-EXPLICIT-T__smooth__S54205,E4B-FEASIBLE-EXPLICIT-T,smooth,54205,success,COMPLETE,1,0,4.0,2.8844991406148166,48ba9d6203822806f4409d7553a996b035ff156d9ac499ee9c367ae693c8ea28,1,1,1,1,1,1
290,E4B-INFEASIBLE-EXPLICIT-T__aggressive__S54201,E4B-INFEASIBLE-EXPLICIT-T,aggressive,54201,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,d878f158c4a0c8dbcd8bdfdb8c5619164ce0b77f972493cc2567ae27642d266f,1,1,1,1,1,1
205,E4B-INFEASIBLE-EXPLICIT-T__aggressive__S54202,E4B-INFEASIBLE-EXPLICIT-T,aggressive,54202,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,21ca06576f608e7e8471dbfc4d1c1feac3b9cca58a6190a831e796f39b47f207,1,1,1,1,1,1
444,E4B-INFEASIBLE-EXPLICIT-T__aggressive__S54203,E4B-INFEASIBLE-EXPLICIT-T,aggressive,54203,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,440cab2e9b695b575ebdc5f4429a8ddf142af7d26fce49119ee4297a4a38364f,1,1,1,1,1,1
277,E4B-INFEASIBLE-EXPLICIT-T__aggressive__S54204,E4B-INFEASIBLE-EXPLICIT-T,aggressive,54204,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,73a1907f0e8ca736a1d90714f056cf9bc32d19141c166a7a6e3178adbf2673c5,1,1,1,1,1,1
586,E4B-INFEASIBLE-EXPLICIT-T__aggressive__S54205,E4B-INFEASIBLE-EXPLICIT-T,aggressive,54205,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,fbf63506adc5346335b18aa476e4b93b5092d7b834fc9389e787a4d8e27da459,1,1,1,1,1,1
3,E4B-INFEASIBLE-EXPLICIT-T__normal__S54201,E4B-INFEASIBLE-EXPLICIT-T,normal,54201,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,78484ec0eab5b8cbe8cf80ed772741d6ffb73ed9f7e529f7553cec3c6bd0a99b,1,1,1,1,1,1
513,E4B-INFEASIBLE-EXPLICIT-T__normal__S54202,E4B-INFEASIBLE-EXPLICIT-T,normal,54202,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,840bf96f6d234c8e6d39de53194638737ea1f6154e5099ed5f3f8e8b2a3f9ca2,1,1,1,1,1,1
93,E4B-INFEASIBLE-EXPLICIT-T__normal__S54203,E4B-INFEASIBLE-EXPLICIT-T,normal,54203,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,5f8b1ee65fa8aa65e54c81cb8e153498e5b18db640865a79087e55f63cbd4c7a,1,1,1,1,1,1
587,E4B-INFEASIBLE-EXPLICIT-T__normal__S54204,E4B-INFEASIBLE-EXPLICIT-T,normal,54204,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,7c2141d2666141747d75e8a6db0adff9509bd663caa9e25509503aa966fd8ea3,1,1,1,1,1,1
223,E4B-INFEASIBLE-EXPLICIT-T__normal__S54205,E4B-INFEASIBLE-EXPLICIT-T,normal,54205,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,32f15fa8360989c09218622a239d07361ab26c9c1fb3a1aac5c3747e39091069,1,1,1,1,1,1
338,E4B-INFEASIBLE-EXPLICIT-T__smooth__S54201,E4B-INFEASIBLE-EXPLICIT-T,smooth,54201,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,76bc6e12b37055aedb82b4ae7a976fe2f6d8674bfd2c4af4078f78362e1bd282,1,1,1,1,1,1
258,E4B-INFEASIBLE-EXPLICIT-T__smooth__S54202,E4B-INFEASIBLE-EXPLICIT-T,smooth,54202,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,8d43f288a885cd34a0f678e6dd70088f43c9a970c75ecea41c9074f33074682f,1,1,1,1,1,1
22,E4B-INFEASIBLE-EXPLICIT-T__smooth__S54203,E4B-INFEASIBLE-EXPLICIT-T,smooth,54203,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,e88bf803974ec98a8ce4c0b7fe969ae0f40afd95e061f837b8d835b691664cdf,1,1,1,1,1,1
309,E4B-INFEASIBLE-EXPLICIT-T__smooth__S54204,E4B-INFEASIBLE-EXPLICIT-T,smooth,54204,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,73b48b8338534f6f27ca86c6cc0c3ab35f16eb14b9af6801b89309760ca2e020,1,1,1,1,1,1
18,E4B-INFEASIBLE-EXPLICIT-T__smooth__S54205,E4B-INFEASIBLE-EXPLICIT-T,smooth,54205,success,COMPLETE,1,0,2.8844991406148166,2.8844991406148166,28a2448f8100e7d0c2ad30d3520c20024757b32c8ece34bdb924f77b1b7379d5,1,1,1,1,1,1
330,E4B-SAFETY-ACTIVE__aggressive__S54201,E4B-SAFETY-ACTIVE,aggressive,54201,success,COMPLETE,1,0,6.0,,06642aa5679f132fcbca2b54817f60f7d1c9fd93be23717cce34f1b135b31174,1,1,1,1,1,1
608,E4B-SAFETY-ACTIVE__aggressive__S54202,E4B-SAFETY-ACTIVE,aggressive,54202,success,COMPLETE,1,0,6.0,,054690fa2f22893f69d650d6c78b464bbafd1b026926b47907018b87bba72921,1,1,1,1,1,1
458,E4B-SAFETY-ACTIVE__aggressive__S54203,E4B-SAFETY-ACTIVE,aggressive,54203,success,COMPLETE,1,0,6.0,,ca013dea5c40b23471d2c848ad95f31fe1e53df4b67909e0599c9b320147ab07,1,1,1,1,1,1
124,E4B-SAFETY-ACTIVE__aggressive__S54204,E4B-SAFETY-ACTIVE,aggressive,54204,success,COMPLETE,1,0,6.0,,b9acb53908b209d6eacbabc0fcb867a38dbd7df0772cc6621461164eb81531e1,1,1,1,1,1,1
53,E4B-SAFETY-ACTIVE__aggressive__S54205,E4B-SAFETY-ACTIVE,aggressive,54205,success,COMPLETE,1,0,6.0,,366391dc9174730e42c7c6607c98dc1af9b49ce8e1c3a593f44de50e3467b376,1,1,1,1,1,1
92,E4B-SAFETY-ACTIVE__normal__S54201,E4B-SAFETY-ACTIVE,normal,54201,success,COMPLETE,1,0,6.0,,a422130e7419aaf55ab614eba58523c5ce298b46e778b5ed6da59621f7846eba,1,1,1,1,1,1
489,E4B-SAFETY-ACTIVE__normal__S54202,E4B-SAFETY-ACTIVE,normal,54202,success,COMPLETE,1,0,6.0,,3e4acd17ee73a1ba91674a56331f6d4d60893eabb44d8cfa2522c0a6957c5376,1,1,1,1,1,1
460,E4B-SAFETY-ACTIVE__normal__S54203,E4B-SAFETY-ACTIVE,normal,54203,success,COMPLETE,1,0,6.0,,f79339af74d9933798956076d875918cb19cd72a96216d577c249c64ce76851b,1,1,1,1,1,1
344,E4B-SAFETY-ACTIVE__normal__S54204,E4B-SAFETY-ACTIVE,normal,54204,success,COMPLETE,1,0,6.0,,d395e67fed02e1d6cff82f9d783c5d2a6574d7c0f7439ebe41038722368ae35e,1,1,1,1,1,1
52,E4B-SAFETY-ACTIVE__normal__S54205,E4B-SAFETY-ACTIVE,normal,54205,success,COMPLETE,1,0,6.0,,b41adcd77f22edcf6abfee847df0e30f3ff61104881ddf41f3c6d96aa83ab13c,1,1,1,1,1,1
302,E4B-SAFETY-ACTIVE__smooth__S54201,E4B-SAFETY-ACTIVE,smooth,54201,success,COMPLETE,1,0,6.0,,e797f021ab600c7ec52bc5b99a39d1daf9def727a7865764ec482880eb712661,1,1,1,1,1,1
554,E4B-SAFETY-ACTIVE__smooth__S54202,E4B-SAFETY-ACTIVE,smooth,54202,success,COMPLETE,1,0,6.0,,4e32842d577a5ea5717fd51b7290826992326d0c7417d214663b3c78d198e1e7,1,1,1,1,1,1
226,E4B-SAFETY-ACTIVE__smooth__S54203,E4B-SAFETY-ACTIVE,smooth,54203,success,COMPLETE,1,0,6.0,,4cd77ae3a8a8c8c6ea4fceb784bc012ea9c2366a1b450b91eb670577737fdecb,1,1,1,1,1,1
422,E4B-SAFETY-ACTIVE__smooth__S54204,E4B-SAFETY-ACTIVE,smooth,54204,success,COMPLETE,1,0,6.0,,63d50314087e45c06f57894071f4975903f59ea2326ab3a976073a5853e43e6e,1,1,1,1,1,1
488,E4B-SAFETY-ACTIVE__smooth__S54205,E4B-SAFETY-ACTIVE,smooth,54205,success,COMPLETE,1,0,6.0,,f162368a07a8e4e26f7c917c970bc31f845efeb882800d858c9d89cc2f21ffa0,1,1,1,1,1,1
