scope,component,valid_N,NA_N,mean,standard_deviation,median,IQR,q1,q3,mean_95pct_t_CI
OVERALL,llm_inference,19,6,29.567526315789475,22.79653147195965,23.753,9.482999999999997,18.423000000000002,27.906,"[18.57994985879015, 40.5551027727888]"
OVERALL,parse_validation,19,6,0.13483379626284564,0.4592458751018194,0.02936431300768305,0.001560561505290714,0.028517760995077523,0.030078322500368238,"[-0.08651563013781172, 0.356183222663503]"
OVERALL,snapshot_wait,19,6,1.0719867358910913,0.560981391047616,0.8649645199911902,0.3571715660073096,0.8622921869900892,1.2194637529973988,"[0.8016023604140066, 1.342371111368176]"
OVERALL,resolution,19,6,0.0008888870020439897,0.0007616118726752062,0.00040439800068270415,0.0014448240035562776,0.00017008400027407333,0.001614908003830351,"[0.0005218018298163437, 0.001255972174271636]"
OVERALL,allocation,19,6,0.06235328578814484,0.05650834210560114,0.046046596005908214,0.04649239899299573,0.022061481002310757,0.06855387999530649,"[0.03511713672278033, 0.08958943485350936]"
OVERALL,dispatch,19,6,0.0008408883157627363,0.0006182788992869338,0.0008550220081815496,0.0006457964918809012,0.00040047500078799203,0.0010462714926688932,"[0.0005428874253193539, 0.0011388892062061187]"
OVERALL,physical_execution,14,11,11.141317983712984,2.9361458563212537,11.036999603980803,6.06138092800029,8.046471626257699,14.107852554257988,"[9.446037838284331, 12.836598129141636]"
SIMPLE,llm_inference,5,0,21.8322,5.139649569766405,21.525,6.972999999999999,18.003,24.976,"[15.450482165837577, 28.213917834162423]"
SIMPLE,parse_validation,5,0,0.02914020199824634,0.0006450372342957114,0.029287060994306557,0.000676217005938895,0.028688096001744157,0.02936431300768305,"[0.028339282486920428, 0.029941121509572254]"
SIMPLE,snapshot_wait,5,0,1.1432710901950487,0.46846498049246604,0.869608912995318,0.6965652559883893,0.8621690820000367,1.558734337988426,"[0.5615949894983239, 1.7249471908917735]"
SIMPLE,resolution,5,0,0.0002958518045488745,7.516213080267076e-05,0.0002556179970270023,9.201900684274733e-05,0.0002509010082576424,0.0003429200151003897,"[0.00020252569270291584, 0.00038917791639483316]"
SIMPLE,allocation,5,0,0.06581801159773022,0.002567694621333711,0.06475699599832296,0.004285242990590632,0.0637681850057561,0.06805342799634673,"[0.0626297976280387, 0.06900622556742174]"
SIMPLE,dispatch,5,0,0.0008659134007757529,6.590303572443026e-05,0.0008489269966958091,0.00012184398656245321,0.000809205012046732,0.0009310489986091852,"[0.0007840839739443912, 0.0009477428276071147]"
SIMPLE,physical_execution,5,0,11.038228683592752,0.002954010140430038,11.037146936971112,0.0022908320097485557,11.036852270990494,11.039143103000242,"[11.034560795551052, 11.041896571634453]"
REL-QUAL,llm_inference,5,0,18.0476,3.5082967092308484,17.957,2.1260000000000012,17.953,20.079,"[13.691474281131306, 22.403725718868692]"
REL-QUAL,parse_validation,5,0,0.029095846802612967,0.001300571954497162,0.02963270100951121,0.001386009997279558,0.028686860002810732,0.03007287000009029,"[0.027480973429640333, 0.030710720175585602]"
REL-QUAL,snapshot_wait,5,0,1.5704471071963781,0.7373189508587251,1.6383367399903364,0.9997252930043032,0.8691721569921356,1.8688974499964388,"[0.654944710721727, 2.485949503671029]"
REL-QUAL,resolution,5,0,9.804940054891631e-05,1.1704449830358851e-05,9.1200003225822e-05,1.607800368219614e-05,8.990899368654937e-05,0.0001059869973687455,"[8.351640657577754e-05, 0.00011258239452205508]"
REL-QUAL,allocation,5,0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
REL-QUAL,dispatch,5,0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
REL-QUAL,physical_execution,0,5,,,,,,,
SEQUENTIAL,llm_inference,4,1,45.16524999999999,41.331015975697156,27.4835,23.291249999999998,24.67875,47.97,"[-20.60161954275113, 110.93211954275111]"
SEQUENTIAL,parse_validation,4,1,0.5330304522504017,0.9988196606280972,0.03496531950152715,0.5043299122496245,0.03183292975115215,0.5361628420007767,"[-1.056314517055183, 2.1223754215559865]"
SEQUENTIAL,snapshot_wait,4,1,0.7860463647502911,0.1414489485501326,0.8447291955017135,0.10525728174070537,0.7627591392556496,0.868016420996355,"[0.5609695229004344, 1.0111232066001477]"
SEQUENTIAL,resolution,4,1,0.0017805077586672269,0.00016663119275283652,0.0017521255067549646,0.0002095687304972671,0.0016615322674624622,0.0018711009979597293,"[0.0015153603468065398, 0.0020456551705279142]"
SEQUENTIAL,allocation,4,1,0.15719816524324415,0.013212682456479396,0.16113058698829263,0.010341558247091598,0.1539935969922226,0.1643351552393142,"[0.13617383900998561, 0.17822249147650268]"
SEQUENTIAL,dispatch,4,1,0.0017345034975733142,0.00010453398240336142,0.001725511498079868,0.00016327900084434077,0.0016483679974044207,0.0018116469982487615,"[0.0015681666045352003, 0.0019008403906114282]"
SEQUENTIAL,physical_execution,4,1,15.142449908500566,0.00906350831292412,15.145756545003678,0.009231236992491176,15.139487608255877,15.148718845248368,"[15.128027844228876, 15.156871972772256]"
PARALLEL,llm_inference,5,0,36.34459999999999,21.846616312372035,27.469,6.727,24.349,31.076,"[9.218443042356508, 63.470756957643474]"
PARALLEL,parse_validation,5,0,0.02770801519763282,0.0016683393857904172,0.027626362990353925,0.0021352000135230753,0.02680326398892774,0.028938464002450814,"[0.025636498245511473, 0.029779532149754165]"
PARALLEL,snapshot_wait,5,0,0.7309943071944872,0.3066089942964671,0.8639440049882978,0.0017540150001877919,0.8632105049910024,0.8649645199911902,"[0.35028895745110006, 1.1116996569378743]"
PARALLEL,resolution,5,0,0.0015594631957355886,7.179421993432281e-05,0.0015705259866081178,8.316399180330336e-05,0.001521883998066187,0.0016050479898694903,"[0.0014703188975640168, 0.0016486074939071605]"
PARALLEL,allocation,5,0,0.04536594220262487,0.0008116689942082978,0.04566566900757607,0.0010026179952546954,0.044995932999881916,0.04599855099513661,"[0.044358122034058166, 0.04637376237119157]"
PARALLEL,dispatch,5,0,0.0009418594010639936,0.00010830305310244387,0.0009518380102235824,0.00018580598407424986,0.0008550220081815496,0.0010408279922557995,"[0.0008073833991311384, 0.0010763354029968489]"
PARALLEL,physical_execution,5,0,8.043501744003152,0.010124304739995954,8.038908254005946,0.003260075012804009,8.038232353996136,8.04149242900894,"[8.030930759300654, 8.056072728705649]"
MIXED-HIGH,llm_inference,0,5,,,,,,,
MIXED-HIGH,parse_validation,0,5,,,,,,,
MIXED-HIGH,snapshot_wait,0,5,,,,,,,
MIXED-HIGH,resolution,0,5,,,,,,,
MIXED-HIGH,allocation,0,5,,,,,,,
MIXED-HIGH,dispatch,0,5,,,,,,,
MIXED-HIGH,physical_execution,0,5,,,,,,,
