global_position,trial_id,scenario_id,scenario_class,method,seed,attempt_status,scientific_complete,analysis_status,canonical_result_sha256,mission_success,provider_status,parsing_resolution_status,tracking_RMSE,final_error,actual_d_min,iapf_activation_burden,integral_delta_p_burden,integral_delta_a_burden,latency_llm_inference,latency_parse_validation,latency_snapshot_wait,latency_resolution,latency_allocation,latency_dispatch,latency_physical_execution
359,E5-MIXED-HIGH__Full_Method__S55101,E5-MIXED-HIGH,MIXED-HIGH,Full_Method,55101,infrastructure_failure,0,PARTIAL_VALID_METRICS,cd21f7f97e41e1a49a50def7879bdb88fbbb0d778dc407380a2f73f3699bb428,0.0,0.0,0.0,,,,,,,,,,,,,
101,E5-MIXED-HIGH__Full_Method__S55102,E5-MIXED-HIGH,MIXED-HIGH,Full_Method,55102,infrastructure_failure,0,PARTIAL_VALID_METRICS,7b4a7e3a4a1bf47ca42eb1e2c3ed150f95ea399b2f071020d4ffdf8289707d9f,0.0,0.0,0.0,,,,,,,,,,,,,
295,E5-MIXED-HIGH__Full_Method__S55103,E5-MIXED-HIGH,MIXED-HIGH,Full_Method,55103,infrastructure_failure,0,PARTIAL_VALID_METRICS,e8b5c05f08836ffa6beca1e1b4b1918e418c6ea5d92f5503a17ee1a78c596113,0.0,0.0,0.0,,,,,,,,,,,,,
294,E5-MIXED-HIGH__Full_Method__S55104,E5-MIXED-HIGH,MIXED-HIGH,Full_Method,55104,infrastructure_failure,0,PARTIAL_VALID_METRICS,0ee816e2172c787f85da5da1e39fbc0df7c91e2ade70b0fb518e21bf58173d84,0.0,0.0,0.0,,,,,,,,,,,,,
202,E5-MIXED-HIGH__Full_Method__S55105,E5-MIXED-HIGH,MIXED-HIGH,Full_Method,55105,infrastructure_failure,0,PARTIAL_VALID_METRICS,07dfc9dc1061306787e2b38d8f0b0c619151e2c6d6b91a35e5189c10f1e879ad,0.0,0.0,0.0,,,,,,,,,,,,,
281,E5-PARALLEL__Full_Method__S55101,E5-PARALLEL,PARALLEL,Full_Method,55101,success,1,COMPLETE,1693209202e2f43402125ee7892f02cb16606af6e4ba23b6719041a559c6324d,1.0,1.0,1.0,0.08404923138282673,0.04838172284320287,1.85430081806696,0.0,0.0,0.0,31.076,0.02549262200866309,0.8649645199911902,0.001521883998066187,0.044995932999881916,0.001051714993081987,8.04149242900894
379,E5-PARALLEL__Full_Method__S55102,E5-PARALLEL,PARALLEL,Full_Method,55102,success,1,COMPLETE,97a2e68d0fb225e3110e67bc6cf84a626aaa08badb62f06fedd1d518fa13bb61,1.0,1.0,1.0,0.0797112473360588,0.04589554503437983,1.849041206627599,0.0,0.0,0.0,75.076,0.02967936299776852,0.18265933799557388,0.0016050479898694903,0.046046596005908214,0.0008550220081815496,8.038908254005946
310,E5-PARALLEL__Full_Method__S55103,E5-PARALLEL,PARALLEL,Full_Method,55103,success,1,COMPLETE,9a2857ce83234b2a0e9ab4686072d8f177be4d2f84091395b8a3bd41f5846409,1.0,1.0,1.0,0.08374877202248909,0.052737053152781335,1.820344715084821,0.0,0.0,0.0,23.753,0.028938464002450814,0.8632105049910024,0.0016416440048487857,0.04599855099513661,0.0010408279922557995,8.061409218003973
539,E5-PARALLEL__Full_Method__S55104,E5-PARALLEL,PARALLEL,Full_Method,55104,success,1,COMPLETE,a0fc99d1dd9475206ca3a8df3b1c30a8fcc82ddd3f3b2025ec9ff2c61c515955,1.0,1.0,1.0,0.08114252100324246,0.04971978700463668,1.8080170129484858,0.0,0.0,0.0,27.469,0.027626362990353925,0.8801931680063717,0.0014582139992853627,0.04412296200462151,0.0009518380102235824,8.038232353996136
293,E5-PARALLEL__Full_Method__S55105,E5-PARALLEL,PARALLEL,Full_Method,55105,success,1,COMPLETE,c45ec327147a13b2d5b31dcaa233930128b747122412a853f2f7fdc8462ab88d,1.0,1.0,1.0,0.085060079040193,0.04859281360495024,1.8150882153200287,0.0,0.0,0.0,24.349,0.02680326398892774,0.8639440049882978,0.0015705259866081178,0.04566566900757607,0.0008098940015770495,8.037466465000762
